"filename", "language", "Shell Script", "Markdown", "pip requirements", "JavaScript JSX", "Python", "JavaScript", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"c:\HRMS\DATABASE_MIGRATION.md", "Markdown", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 49, 181
"c:\HRMS\INSTALLATION.md", "Markdown", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 67, 230
"c:\HRMS\README.md", "Markdown", 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 100, 412
"c:\HRMS\backup.sh", "Shell Script", 61, 0, 0, 0, 0, 0, 0, 0, 0, 49, 24, 134
"c:\HRMS\deploy.sh", "Shell Script", 287, 0, 0, 0, 0, 0, 0, 0, 0, 83, 69, 439
"c:\HRMS\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 43
"c:\HRMS\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"c:\HRMS\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 452, 0, 0, 0, 0, 0, 21, 20, 493
"c:\HRMS\frontend\src\AppRoutes.jsx", "JavaScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 16, 10, 115
"c:\HRMS\frontend\src\core\api\axiosConfig.js", "JavaScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 9, 11, 81
"c:\HRMS\frontend\src\core\api\endpoints.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 9, 7, 59
"c:\HRMS\frontend\src\core\components\charts\Charts.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 16, 8, 161
"c:\HRMS\frontend\src\core\components\employee\BasicInfoTab.jsx", "JavaScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 4, 16, 214
"c:\HRMS\frontend\src\core\components\employee\DocumentPreviewModal.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 7, 65
"c:\HRMS\frontend\src\core\components\employee\DocumentUploadModal.jsx", "JavaScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 11, 113
